URL,Product Name,Price,Rating,No of reviews
/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0650097HNMK5B0DY4UV&url=%2FLunars-Bingo-Laptop-Resistant-48L%2Fdp%2FB08YZ8FFBZ%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1653554727%26smid%3DA3RXEJKPWRVCLY%26sprefix%3Dba%252Caps%252C283%26sr%3D8-1-spons%26psc%3D1&qualifier=1653554727&id=8526559017351583&widgetName=sp_atf,Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,899,3.9 out of 5 stars,155
/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A10460101KYDVV3DEIG8N&url=%2FPALAY%25C2%25AE-Student-Backpack-Travel-Students%2Fdp%2FB09XMFBMCR%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1653554727%26sprefix%3Dba%252Caps%252C283%26sr%3D8-2-spons%26psc%3D1&qualifier=1653554727&id=8526559017351583&widgetName=sp_atf,"PALAY® BTS Student Backpack with Cable Vent, Backpack Travel Bag Students Backpack Laptop Bag","1,699",3.9 out of 5 stars,155
/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1653554727&sprefix=ba%2Caps%2C283&sr=8-3,American Tourister Casual Backpack,999,4.1 out of 5 stars,155
/LOVEVOOK-Backpack-Computer-Waterproof-College/dp/B09BZF78W3/ref=sr_1_omk_4?crid=2M096C61O4MLT&keywords=bags&qid=1653554727&sprefix=ba%2Caps%2C283&sr=8-4,LOVEVOOK Laptop Backpack Work Travel Backpack for Women Men 17 Inch Anti Theft Computer Bag Waterproof College Bookbag,999,4.6 out of 5 stars,155
/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1653554727&smid=A1UVZJ9N7FK5G6&sprefix=ba%2Caps%2C283&sr=8-5,Half Moon 35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Navy),689,3.9 out of 5 stars,155
/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1653554727&sprefix=ba%2Caps%2C283&sr=8-6,SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB),299,4.0 out of 5 stars,155
/regular-waterproof-storage-college-Backpack/dp/B08BYSL2ZT/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1653554727&sprefix=ba%2Caps%2C283&sr=8-7,The Westzone Regular Hi Storage 25 L Waterproof Rain Cover Laptop Backpack (Navy Blue Ct),639,3.9 out of 5 stars,155
/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1653554727&sprefix=ba%2Caps%2C283&sr=8-8,"TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port and anti -theft back pocket Laptop bag , office bag , college bag ( LEGEND )",689,3.9 out of 5 stars,155
/Northzone-Polyester-School-Backpack-Compartment/dp/B08678P2T7/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1653554727&sprefix=ba%2Caps%2C283&sr=8-9,Northzone Lightweight School Bags Backpacks for Boys Girls Stylish Men and Women Casual Travel Laptop Bag College Office (Navy Blue) 40L,593,4.0 out of 5 stars,155
/Casual-Backpack-Charging-Laptop-Compartment/dp/B07J46KLFP/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1653554727&sprefix=ba%2Caps%2C283&sr=8-10,"Fur Jaden 15.6 Inch Laptop Backpack 25 LTR Bag for School, College and Office with USB Charging Port",499,3.9 out of 5 stars,155
/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A05159223W5A3CWMOUMHG&url=%2FHalf-Moon-Waterproof-Backpack-Students%2Fdp%2FB085MHDJ93%2Fref%3Dsr_1_11_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1653554727%26smid%3DA1UVZJ9N7FK5G6%26sprefix%3Dba%252Caps%252C283%26sr%3D8-11-spons%26psc%3D1&qualifier=1653554727&id=8526559017351583&widgetName=sp_mtf,Half Moon 35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Navy),689,3.9 out of 5 stars,155
/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A088207334X9IHHU1L8TU&url=%2FPOLESTAR-Vintage-Laptop-Backpack-bagpack%2Fdp%2FB081GSQ9D9%2Fref%3Dsr_1_12_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1653554727%26sprefix%3Dba%252Caps%252C283%26sr%3D8-12-spons%26psc%3D1&qualifier=1653554727&id=8526559017351583&widgetName=sp_mtf,"POLESTAR Vintage 32 L College/ School/ Office/ Casual/ Travel Backpack with 15.6"" laptop compartment, suitable for both men & women,1 year warranty",619,4.0 out of 5 stars,155
/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1653554727&sprefix=ba%2Caps%2C283&sr=8-13,Skybags Brat Black 46 Cms Casual Backpack,599,4.1 out of 5 stars,155
/Martucci-Casual-Travelling-Laptop-Backpack/dp/B088B4P6ZW/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1653554727&sprefix=ba%2Caps%2C283&sr=8-14,Martucci 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack(Black),539,4.1 out of 5 stars,155
/Fur-Jaden-Black-Waterproof-Backpack/dp/B078GLXMDY/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1653554727&sprefix=ba%2Caps%2C283&sr=8-15,Fur Jaden Anti Theft Backpack 15.6 Inch Laptop Bag with USB Charging Port and Water Resistant Fabric,799,4.0 out of 5 stars,155
/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1653554727&sprefix=ba%2Caps%2C283&sr=8-16,Lenovo Slim Everyday Backpack,799,4.4 out of 5 stars,155
/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1653554727&sprefix=ba%2Caps%2C283&sr=8-17,ADISA Laptop Backpack 31 Ltrs,509,4.0 out of 5 stars,155
/Bennett-Mystic-Shoulder-Messenger-Repellent/dp/B08X2T2M8G/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1653554727&sprefix=ba%2Caps%2C283&sr=8-18,"Bennett Mystic 15.6 inch Laptop Shoulder Messenger Sling Office Bag, Water Repellent Fabric for Men and Women (Blue)",512,4.1 out of 5 stars,155
/SAFARI-Denim-Casual-Backpack-DAYPACKNEO15CBDNB/dp/B07NSC4SL5/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1653554727&sprefix=ba%2Caps%2C283&sr=8-19,SAFARI 15 Ltrs Denim Blue Casual/School/College Backpack (DAYPACKNEO15CBDNB),299,4.0 out of 5 stars,155
/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1653554727&sprefix=ba%2Caps%2C283&sr=8-20,Gear Classic Anti Theft Faux Leather 18 inch 48 cms Brown Laptop Backpack (LBPCLSLTH0201),890,4.4 out of 5 stars,155
/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A09017841YW5HI6F6YZBD&url=%2FUrban-Tribe-Laptop-Backpack-Accelerator%2Fdp%2FB01M6WLGH0%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1653554727%26sprefix%3Dba%252Caps%252C283%26sr%3D8-21-spons%26psc%3D1&qualifier=1653554727&id=8526559017351583&widgetName=sp_btf,"Urban Tribe Accelerator 30L Laptop Backpack with 15.6"" compartment for Office/Business/Travel/College, Casual Bag for Men and Women, Black","1,649",4.1 out of 5 stars,155
/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A085981727ZC4DXXGOART&url=%2FHalf-Moon-Travelling-Rucksack-Compartment%2Fdp%2FB09WDBPVFW%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1653554727%26sprefix%3Dba%252Caps%252C283%26sr%3D8-22-spons%26psc%3D1&qualifier=1653554727&id=8526559017351583&widgetName=sp_btf,Half Moon 55 litres Travelling Laptop Bag/Rucksack Backpack for Luggage Travel Journey Trekking Hiking Bags for Men Women Boys and Girls with Laptop Compartment & Rain Cover,949,4.1 out of 5 stars,155
/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0824401U7A0UU4HMRG3&url=%2FFormal-Laptop-Backpack-Charging-Resistant%2Fdp%2FB086X2885R%2Fref%3Dsr_1_17_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1653554729%26sprefix%3Dba%252Caps%252C283%26sr%3D8-17-spons%26psc%3D1&qualifier=1653554729&id=6388032808885725&widgetName=sp_atf_next,"Storm Formal 17"" Laptop Backpack with USB Charging and Dust/Water Resistant bottom","1,099",3.9 out of 5 stars,155
/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A10460101KYDVV3DEIG8N&url=%2FPALAY%25C2%25AE-Student-Backpack-Travel-Students%2Fdp%2FB09XMFBMCR%2Fref%3Dsr_1_18_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1653554729%26sprefix%3Dba%252Caps%252C283%26sr%3D8-18-spons%26psc%3D1&qualifier=1653554729&id=6388032808885725&widgetName=sp_atf_next,"PALAY® BTS Student Backpack with Cable Vent, Backpack Travel Bag Students Backpack Laptop Bag","1,699",3.9 out of 5 stars,155
/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ8FFBZ/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1653554729&smid=A3RXEJKPWRVCLY&sprefix=ba%2Caps%2C283&sr=8-19,Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,899,3.9 out of 5 stars,155
/POLESTAR-Vintage-Laptop-Backpack-bagpack/dp/B081GSQ9D9/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1653554729&sprefix=ba%2Caps%2C283&sr=8-20,"POLESTAR Vintage 32 L College/ School/ Office/ Casual/ Travel Backpack with 15.6"" laptop compartment, suitable for both men & women,1 year warranty",619,4.0 out of 5 stars,155
/Fur-Jaden-Rucksack-Backpack-BM43_Blue/dp/B07PS38XSP/ref=sr_1_21?crid=2M096C61O4MLT&keywords=bags&qid=1653554729&sprefix=ba%2Caps%2C283&sr=8-21,Fur Jaden Hiking Camping Rucksack Casual 10 Ltrs Blue Casual Backpack,249,3.6 out of 5 stars,155
/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_22?crid=2M096C61O4MLT&keywords=bags&qid=1653554729&sprefix=ba%2Caps%2C283&sr=8-22,Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,851,4.1 out of 5 stars,155
/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=sr_1_23?crid=2M096C61O4MLT&keywords=bags&qid=1653554729&sprefix=ba%2Caps%2C283&sr=8-23,ADISA Light Weight Laptop Backpack 32 Ltrs,549,4.0 out of 5 stars,155
/AirCase-C30-Messenger-Compartments-Multi-Pockets/dp/B07V47HHRG/ref=sr_1_24?crid=2M096C61O4MLT&keywords=bags&qid=1653554729&sprefix=ba%2Caps%2C283&sr=8-24,"AirCase C30 13.3 Inch/14 Inch/15.6 Inch Messenger Laptop Bag with Shoulder Strap, Water resistant, Multi Utility Compartments for all All iPad/Tablet (Black)","1,472",4.0 out of 5 stars,155
/Wildcraft-Ltrs-orange-Rucksack-8903338073864/dp/B01G5I8YLC/ref=sr_1_25?crid=2M096C61O4MLT&keywords=bags&qid=1653554729&sprefix=ba%2Caps%2C283&sr=8-25,"Wildcraft 45 Ltrs Grey and Orange Rucksack (8903338073864), Large","1,587",4.3 out of 5 stars,155
/Aavishkar-Polyster-Weight-Laptop-Backpack/dp/B08DLL3794/ref=sr_1_26?crid=2M096C61O4MLT&keywords=bags&qid=1653554729&sprefix=ba%2Caps%2C283&sr=8-26,Truvic Polyster Black Light Weight Laptop Bag 30 ltrs Laptop Backpack for Upto 15.6 inch Laptop (Black),440,3.4 out of 5 stars,155
/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A0910309BEHVLPWI1AK6&url=%2FStrabo-Business-Backpack-Resistant-Warranty%2Fdp%2FB09V5F12JW%2Fref%3Dsr_1_27_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1653554729%26sprefix%3Dba%252Caps%252C283%26sr%3D8-27-spons%26psc%3D1%26smid%3DA2RYUDPXWQUWC3&qualifier=1653554729&id=6388032808885725&widgetName=sp_mtf,Strabo Nexa 32 L Laptop Office/School/Travel/Business Backpack Water Resistant /Fits Up to 15.6 Inch Laptop with 1 Year Warranty,799,5.0 out of 5 stars,155
/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A0650097HNMK5B0DY4UV&url=%2FLunars-Bingo-Laptop-Resistant-48L%2Fdp%2FB08YZ8FFBZ%2Fref%3Dsr_1_28_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1653554729%26smid%3DA3RXEJKPWRVCLY%26sprefix%3Dba%252Caps%252C283%26sr%3D8-28-spons%26psc%3D1&qualifier=1653554729&id=6388032808885725&widgetName=sp_mtf,Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,899,3.9 out of 5 stars,155
/TRUE-HUMAN-Anti-Theft-backpack-combination/dp/B09VCHV6T5/ref=sr_1_29?crid=2M096C61O4MLT&keywords=bags&qid=1653554729&sprefix=ba%2Caps%2C283&sr=8-29,"TRUE HUMAN Emperor ( ZYDEN ) Anti-Theft backpack with combination lock Laptop bag , office bag , college bag",659,4.0 out of 5 stars,155
/Backpack-Fashion-Computer-Business-Black-BlueZip/dp/B08R7J19R8/ref=sr_1_30?crid=2M096C61O4MLT&keywords=bags&qid=1653554729&sprefix=ba%2Caps%2C283&sr=8-30,Wooum 15.6 inch Laptop Bag Backpack Fashion Rucksack Casual Student School Bag Computer Bag College Bag Office Bag Business Bag Unisex Travel Backpack,426,4.0 out of 5 stars,155
/Rucksack-Travel-Backpack-Trekking-Compartment/dp/B07YDGQQN5/ref=sr_1_31?crid=2M096C61O4MLT&keywords=bags&qid=1653554729&sprefix=ba%2Caps%2C283&sr=8-31,"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",799,4.2 out of 5 stars,155
/Capriff-Waterproof-Backpack-adjustable-Compartment/dp/B09V5F5TV9/ref=sr_1_32?crid=2M096C61O4MLT&keywords=bags&qid=1653554729&sprefix=ba%2Caps%2C283&sr=8-32,Capriff 35 L Casual Waterproof Laptop Bag/Backpack for Men Boys & Girls For Office School College Teens & Students with Rain Cover With adjustable Strap With 2 Compartment,719,4.0 out of 5 stars,155
/Genie-Flamenco2-Backpack-Compatible-Resistant/dp/B08YF9VHTY/ref=sr_1_33?crid=2M096C61O4MLT&keywords=bags&qid=1653554729&sprefix=ba%2Caps%2C283&sr=8-33,"Genie Flamenco2 Casual Backpacks for Women, 14 inch, Stylish and Trendy College backpacks for girls, Water Resistant and Lightweight Mini Bags . Latest collection (Sky Blue)",638,4.4 out of 5 stars,155
/Wildcraft-Packs18-Laptop-Backpack-Streak/dp/B07FC4D9B5/ref=sr_1_34?crid=2M096C61O4MLT&keywords=bags&qid=1653554729&sprefix=ba%2Caps%2C283&sr=8-34,Wildcraft Work Packs'18 21 Ltrs Black Laptop Backpack (Streak Plus),"1,463",4.4 out of 5 stars,155
/HEART-CHOICE-Waterproof-Backpack-College/dp/B097TTQS2L/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1653554729&sprefix=ba%2Caps%2C283&sr=8-35,HEART CHOICE Casual Waterproof Laptop Backpack/ Office Bag/ School Bag/ College Bag For Men & Women (Grey Black),390,3.4 out of 5 stars,155
/Hi-Guys-Laptop-Waterproof-bagpack-Backpack/dp/B08WJBY6GT/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1653554729&sprefix=ba%2Caps%2C283&sr=8-36,Hi-Guys Laptop Waterproof Casual Travel bagpack/School Backpack Bag (Black),399,3.8 out of 5 stars,155
/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A085276930QBHPQAMMRBB&url=%2FSassie-Waterproof-Laptop-Backpack-Unisex%2Fdp%2FB09XK1WLVJ%2Fref%3Dsr_1_37_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1653554729%26sprefix%3Dba%252Caps%252C283%26sr%3D8-37-spons%26psc%3D1&qualifier=1653554729&id=6388032808885725&widgetName=sp_btf,Sassie 31 L Waterproof Laptop Bag l Backpack for men and women l Fits upto 15.6 inch Laptop l Unisex Laptop Backpack,649,3.8 out of 5 stars,155
/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A05159223W5A3CWMOUMHG&url=%2FHalf-Moon-Waterproof-Backpack-Students%2Fdp%2FB085MHDJ93%2Fref%3Dsr_1_38_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1653554729%26smid%3DA1UVZJ9N7FK5G6%26sprefix%3Dba%252Caps%252C283%26sr%3D8-38-spons%26psc%3D1&qualifier=1653554729&id=6388032808885725&widgetName=sp_btf,Half Moon 35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Navy),689,3.9 out of 5 stars,155
